City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Noumea,NC,-22.2763,166.4572,81.0,69,0,3.44,clear sky
285,San Policarpo,PH,12.1791,125.5072,78.15,84,100,20.15,moderate rain
286,Yilan,TW,24.757,121.753,60.01,99,100,7.83,overcast clouds
287,Onda,ES,39.9667,-0.25,55.99,54,24,3.0,few clouds
288,Praya,CV,14.9215,-23.5087,68.0,77,90,18.41,overcast clouds
289,Baft,IR,29.234,56.6057,40.32,66,0,4.27,clear sky
290,Abnub,EG,27.2696,31.1511,62.6,39,0,9.22,clear sky
291,Teahupoo,PF,-17.8333,-149.2667,87.01,62,20,10.36,few clouds
292,Lorengau,PG,-2.0226,147.2712,83.97,74,30,7.67,scattered clouds
293,Tsagan Aman,RU,47.5639,46.7218,21.78,73,100,4.36,overcast clouds
294,Aasiaat,GL,68.7098,-52.8699,17.19,86,0,17.52,clear sky
295,Grand Gaube,MU,-20.0064,57.6608,75.99,84,4,1.99,clear sky
296,Harper,LR,4.375,-7.7169,78.66,85,99,3.85,light rain
297,Lodja,CD,-3.4833,23.4333,73.83,65,100,0.83,overcast clouds
298,Boyolangu,ID,-8.1181,111.8935,74.84,89,99,6.15,overcast clouds
299,North Bend,US,43.4065,-124.2243,50.0,61,1,8.05,clear sky
300,Cravinhos,BR,-21.3403,-47.7294,73.4,73,75,5.75,broken clouds
301,Waterloo,CA,43.4668,-80.5164,14.0,57,1,6.91,clear sky
302,Faanui,PF,-16.4833,-151.75,81.61,77,13,12.97,light rain
303,Olga,RU,43.7444,135.2892,4.78,80,90,12.44,overcast clouds
304,Kalat,PK,29.0225,66.5916,44.37,38,67,3.83,broken clouds
305,Qostanay,KZ,53.1667,63.5833,-2.2,78,0,11.18,clear sky
306,Prado,BR,-17.3411,-39.2208,72.21,97,100,3.51,light rain
307,Coquimbo,CL,-29.9533,-71.3436,66.2,68,0,12.66,clear sky
308,Muroto,JP,33.2833,134.15,37.4,56,20,5.75,few clouds
309,Kruisfontein,ZA,-34.0033,24.7314,64.0,85,10,1.99,clear sky
310,Labuhan,ID,-6.8844,112.2051,78.06,86,91,8.23,overcast clouds
311,Taunggyi,MM,20.7833,97.0333,45.37,87,0,1.32,clear sky
